Category,Greenlee
Total_doses_administered,9955
Total_people_one_dose,4474
Total_people_complete,3866
total_pouluation,4474
Male-65 years and older,519
Male-55-64 years,382
Male-45-54 years,332
Male-20-44 years,808
Male-Less than 20 years,235
Female-65 years and older,522
Female-55-64 years,318
Female-45-54 years,332
Female-20-44 years,776
Female-Less than 20 years,248
"Asian or Pacific Islander, non-Hispanic",48
"Black or African American, non-Hispanic",53
Other Race,95
"American Indian or Alaska Native, non-Hispanic",127
Unknown,303
"White, non-Hispanic",1819
Hispanic or Latino,2029
