Category,Graham
Total_doses_administered,47339
Total_people_one_dose,21987
Total_people_complete,19024
total_pouluation,21987
Male-65 years and older,2447
Male-55-64 years,1618
Male-45-54 years,1473
Male-20-44 years,3701
Male-Less than 20 years,1371
Female-65 years and older,2950
Female-55-64 years,1751
Female-45-54 years,1445
Female-20-44 years,3746
Female-Less than 20 years,1473
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1323
Hispanic or Latino,3983
Unknown,4166
"American Indian or Alaska Native, non-Hispanic",5644
"White, non-Hispanic",6686
