Category,Coconino
Total_doses_administered,217589
Total_people_one_dose,97849
Total_people_complete,83156
total_pouluation,97849
Male-65 years and older,9625
Male-55-64 years,6493
Male-45-54 years,5935
Male-20-44 years,17735
Male-Less than 20 years,6663
Female-65 years and older,10824
Female-55-64 years,7272
Female-45-54 years,5985
Female-20-44 years,20154
Female-Less than 20 years,6887
"Black or African American, non-Hispanic",825
"Asian or Pacific Islander, non-Hispanic",1776
Hispanic or Latino,7678
Other Race,8918
Unknown,12318
"American Indian or Alaska Native, non-Hispanic",23482
"White, non-Hispanic",42852
