Category,Apache
Total_doses_administered,65744
Total_people_one_dose,31001
Total_people_complete,23283
total_pouluation,31001
Male-65 years and older,2892
Male-55-64 years,2105
Male-45-54 years,1702
Male-20-44 years,4084
Male-Less than 20 years,4372
Female-65 years and older,3465
Female-55-64 years,2260
Female-45-54 years,1679
Female-20-44 years,3977
Female-Less than 20 years,4455
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",139
Hispanic or Latino,610
Other Race,1179
Unknown,1187
"White, non-Hispanic",3732
"American Indian or Alaska Native, non-Hispanic",24093
