Category,Yuma
Total_doses_administered,334026
Total_people_one_dose,165571
Total_people_complete,129866
total_pouluation,165571
Male-65 years and older,17709
Male-55-64 years,10960
Male-45-54 years,9482
Male-20-44 years,29146
Male-Less than 20 years,13662
Female-65 years and older,20269
Female-55-64 years,11762
Female-45-54 years,10433
Female-20-44 years,27447
Female-Less than 20 years,14060
"Black or African American, non-Hispanic",872
"American Indian or Alaska Native, non-Hispanic",1211
"Asian or Pacific Islander, non-Hispanic",1274
Other Race,19915
Unknown,30211
"White, non-Hispanic",36758
Hispanic or Latino,75330
