Category,Maricopa
Total_doses_administered,5956276
Total_people_one_dose,2745715
Total_people_complete,2349495
total_pouluation,2745715
Male-65 years and older,293168
Male-55-64 years,193467
Male-45-54 years,187999
Male-20-44 years,453720
Male-Less than 20 years,164035
Female-65 years and older,366363
Female-55-64 years,217363
Female-45-54 years,203491
Female-20-44 years,485359
Female-Less than 20 years,166413
"American Indian or Alaska Native, non-Hispanic",53923
"Black or African American, non-Hispanic",107923
"Asian or Pacific Islander, non-Hispanic",140228
Unknown,184940
Other Race,437833
Hispanic or Latino,473041
"White, non-Hispanic",1347827
