Category,La Paz
Total_doses_administered,18892
Total_people_one_dose,9271
Total_people_complete,7623
total_pouluation,9271
Male-65 years and older,2512
Male-55-64 years,652
Male-45-54 years,336
Male-20-44 years,700
Male-Less than 20 years,394
Female-65 years and older,2498
Female-55-64 years,762
Female-45-54 years,387
Female-20-44 years,626
Female-Less than 20 years,385
"Black or African American, non-Hispanic",43
"Asian or Pacific Islander, non-Hispanic",93
"American Indian or Alaska Native, non-Hispanic",553
Other Race,1214
Hispanic or Latino,1386
Unknown,1922
"White, non-Hispanic",4060
