Category,Arizona
Total_doses_administered,10321834
Total_people_complete,4021617
total_pouluation,7189020
Total_people_one_dose,4846400
Male-65 years and older,585539
Male-55-64 years,340038
Male-45-54 years,307134
Male-20-44 years,769111
Male-Less than 20 years,293170
Female-65 years and older,711390
Female-55-64 years,386435
Female-45-54 years,330557
Female-20-44 years,804322
Female-Less than 20 years,298814
"Black or African American, non-Hispanic",148276
"Asian or Pacific Islander, non-Hispanic",186352
"American Indian or Alaska Native, non-Hispanic",210616
Unknown,436948
Other Race,685867
Hispanic or Latino,923940
"White, non-Hispanic",2254401
