,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3962537,1128006,14055,67603,104805,35822,12836,7410,12316,1451158,80716,37021,537627,168739,32019,127456,107795
Total_people_one_dose,2493123,721606,8211,43774,61958,21527,7956,4235,7906,915633,54032,23364,346418,105041,21225,79547,71741
Total_people_complete,1615029,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,543337,,,,,,,,,,,,,,,,
55-64 years,260687,,,,,,,,,,,,,,,,
45-54 years,173919,,,,,,,,,,,,,,,,
20-44 years,360474,,,,,,,,,,,,,,,,
Less than 20 years,33613,,,,,,,,,,,,,,,,
65 years and older,4235,,,,,,,,,,,,,,,,
55-64 years,211839,,,,,,,,,,,,,,,,
45-54 years,143188,,,,,,,,,,,,,,,,
20-44 years,297037,,,,,,,,,,,,,,,,
Less than 20 years,27607,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",49048,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",60742,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",81929,,,,,,,,,,,,,,,,
Hispanic or Latino,284661,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",392572,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",431990,,,,,,,,,,,,,,,,
"White, non-Hispanic",1192492,,,,,,,,,,,,,,,,
