Category,Greenlee
Total_doses_administered,7677
Total_people_one_dose,4045
Total_people_complete,3518
total_pouluation,4045
Male-65 years and older,494
Male-55-64 years,370
Male-45-54 years,311
Male-20-44 years,750
Male-Less than 20 years,143
Female-65 years and older,494
Female-55-64 years,314
Female-45-54 years,311
Female-20-44 years,708
Female-Less than 20 years,148
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",40
"American Indian or Alaska Native, non-Hispanic",98
Other Race,109
Unknown,299
"White, non-Hispanic",1650
Hispanic or Latino,1809
