Category,Yavapai
Total_doses_administered,197497
Total_people_one_dose,108351
Total_people_complete,92202
total_pouluation,108351
Male-65 years and older,23836
Male-55-64 years,8664
Male-45-54 years,4728
Male-20-44 years,9355
Male-Less than 20 years,2195
Female-65 years and older,29740
Female-55-64 years,11056
Female-45-54 years,5617
Female-20-44 years,9500
Female-Less than 20 years,2512
"Black or African American, non-Hispanic",480
"American Indian or Alaska Native, non-Hispanic",1213
"Asian or Pacific Islander, non-Hispanic",1229
Hispanic or Latino,7106
Other Race,16985
Unknown,24770
"White, non-Hispanic",56568
