Category,Graham
Total_doses_administered,36914
Total_people_one_dose,19380
Total_people_complete,17227
total_pouluation,19380
Male-65 years and older,2314
Male-55-64 years,1525
Male-45-54 years,1370
Male-20-44 years,3308
Male-Less than 20 years,812
Female-65 years and older,2786
Female-55-64 years,1660
Female-45-54 years,1342
Female-20-44 years,3331
Female-Less than 20 years,920
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1529
Hispanic or Latino,3371
Unknown,4129
"American Indian or Alaska Native, non-Hispanic",4689
"White, non-Hispanic",5493
