Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7960927,36202,164476,128470,36914,7677,45525,14786,4709136,150892,79541,429064,1274282,84088,197497,250198
Total_people_complete,352179,12879,77440,62143,17227,3518,21777,7057,2164111,70283,35982,204208,592235,41247,92202,117514
total_pouluation,7189020,20194,85880,70332,19380,4045,24423,8004,2439078,82761,42951,229912,659645,45567,108351,135319
Total_people_one_dose,4189023,20194,85880,70332,19380,4045,24423,8004,2439078,82761,42951,229912,659645,45567,108351,135319
Male-65 years and older,524066,2117,8835,10332,2314,494,5488,2221,271617,19088,6781,34622,86330,4350,23836,14637
Male-55-64 years,307760,1447,6015,5008,1525,370,2139,579,179660,7705,3310,17381,45528,3017,8664,9549
Male-45-54 years,276744,1104,5464,3851,1370,311,1196,294,172860,3963,2408,15672,38840,3115,4728,8537
Male-20-44 years,676080,2631,15994,10404,3308,750,2237,588,407361,6779,5190,34351,102708,8368,9355,25132
Male-Less than 20 years,186136,2673,4137,3318,812,143,553,236,109736,1419,3124,9381,28955,3209,2195,7833
Female-65 years and older,644291,2442,10053,12351,2786,494,5947,2277,340807,21580,7643,40211,112571,5244,29740,17160
Female-55-64 years,352007,1516,6808,6132,1660,314,2478,676,203160,9090,3772,19747,54851,3265,11056,10238
Female-45-54 years,299974,1095,5607,4375,1342,311,1336,349,188479,4492,2416,16060,44443,3311,5617,9439
Female-20-44 years,707803,2417,18261,10986,3331,708,2360,529,437008,6880,4978,32311,113346,8326,9500,23979
Female-Less than 20 years,194668,2744,4451,3481,920,148,631,239,113996,1596,3296,9433,30652,3308,2512,8366
"Black or African American, non-Hispanic",119042,48,657,1342,80,40,77,32,88232,515,181,7927,13354,46,480,679
"Asian or Pacific Islander, non-Hispanic",152972,108,1386,1323,89,40,199,84,116904,1184,353,4513,18753,167,1229,1036
"American Indian or Alaska Native, non-Hispanic",156934,13992,18713,304,4689,98,2362,350,44746,598,16552,8098,12808,47,1213,1030
Unknown,450493,1163,15126,9232,4129,299,5035,1830,182684,12828,2375,30623,82997,2822,24770,29978
Other Race,680698,1231,10555,11451,1529,109,4441,1168,447021,14939,7884,30456,93580,3121,16985,14930
Hispanic or Latino,739028,465,6164,17521,3371,1809,1308,1152,391002,6316,2195,36044,150919,32693,7106,59933
"White, non-Hispanic",1889856,3187,33279,29159,5493,1650,11001,3388,1168489,46381,13411,112251,287234,6671,56568,27733
