Category,Navajo
Total_doses_administered,79541
Total_people_one_dose,42951
Total_people_complete,35982
total_pouluation,42951
Male-65 years and older,6781
Male-55-64 years,3310
Male-45-54 years,2408
Male-20-44 years,5190
Male-Less than 20 years,3124
Female-65 years and older,7643
Female-55-64 years,3772
Female-45-54 years,2416
Female-20-44 years,4978
Female-Less than 20 years,3296
"Black or African American, non-Hispanic",181
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2195
Unknown,2375
Other Race,7884
"White, non-Hispanic",13411
"American Indian or Alaska Native, non-Hispanic",16552
