Category,Arizona
Total_doses_administered,7960927
Total_people_complete,352179
total_pouluation,7189020
Total_people_one_dose,4189023
Male-65 years and older,524066
Male-55-64 years,307760
Male-45-54 years,276744
Male-20-44 years,676080
Male-Less than 20 years,186136
Female-65 years and older,644291
Female-55-64 years,352007
Female-45-54 years,299974
Female-20-44 years,707803
Female-Less than 20 years,194668
"Black or African American, non-Hispanic",119042
"Asian or Pacific Islander, non-Hispanic",152972
"American Indian or Alaska Native, non-Hispanic",156934
Unknown,450493
Other Race,680698
Hispanic or Latino,739028
"White, non-Hispanic",1889856
