Category,Mohave
Total_doses_administered,150892
Total_people_one_dose,82761
Total_people_complete,70283
total_pouluation,82761
Male-65 years and older,19088
Male-55-64 years,7705
Male-45-54 years,3963
Male-20-44 years,6779
Male-Less than 20 years,1419
Female-65 years and older,21580
Female-55-64 years,9090
Female-45-54 years,4492
Female-20-44 years,6880
Female-Less than 20 years,1596
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",598
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,6316
Unknown,12828
Other Race,14939
"White, non-Hispanic",46381
