Category,Cochise
Total_doses_administered,128470
Total_people_one_dose,70332
Total_people_complete,62143
total_pouluation,70332
Male-65 years and older,10332
Male-55-64 years,5008
Male-45-54 years,3851
Male-20-44 years,10404
Male-Less than 20 years,3318
Female-65 years and older,12351
Female-55-64 years,6132
Female-45-54 years,4375
Female-20-44 years,10986
Female-Less than 20 years,3481
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1323
"Black or African American, non-Hispanic",1342
Unknown,9232
Other Race,11451
Hispanic or Latino,17521
"White, non-Hispanic",29159
