Category,La Paz
Total_doses_administered,14786
Total_people_one_dose,8004
Total_people_complete,7057
total_pouluation,8004
Male-65 years and older,2221
Male-55-64 years,579
Male-45-54 years,294
Male-20-44 years,588
Male-Less than 20 years,236
Female-65 years and older,2277
Female-55-64 years,676
Female-45-54 years,349
Female-20-44 years,529
Female-Less than 20 years,239
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",84
"American Indian or Alaska Native, non-Hispanic",350
Hispanic or Latino,1152
Other Race,1168
Unknown,1830
"White, non-Hispanic",3388
