Category,Yuma
Total_doses_administered,250198
Total_people_one_dose,135319
Total_people_complete,117514
total_pouluation,135319
Male-65 years and older,14637
Male-55-64 years,9549
Male-45-54 years,8537
Male-20-44 years,25132
Male-Less than 20 years,7833
Female-65 years and older,17160
Female-55-64 years,10238
Female-45-54 years,9439
Female-20-44 years,23979
Female-Less than 20 years,8366
"Black or African American, non-Hispanic",679
"American Indian or Alaska Native, non-Hispanic",1030
"Asian or Pacific Islander, non-Hispanic",1036
Other Race,14930
"White, non-Hispanic",27733
Unknown,29978
Hispanic or Latino,59933
