Category,Coconino
Total_doses_administered,164476
Total_people_one_dose,85880
Total_people_complete,77440
total_pouluation,85880
Male-65 years and older,8835
Male-55-64 years,6015
Male-45-54 years,5464
Male-20-44 years,15994
Male-Less than 20 years,4137
Female-65 years and older,10053
Female-55-64 years,6808
Female-45-54 years,5607
Female-20-44 years,18261
Female-Less than 20 years,4451
"Black or African American, non-Hispanic",657
"Asian or Pacific Islander, non-Hispanic",1386
Hispanic or Latino,6164
Other Race,10555
Unknown,15126
"American Indian or Alaska Native, non-Hispanic",18713
"White, non-Hispanic",33279
