Category,Santa Cruz
Total_doses_administered,84316
Total_people_one_dose,45655
Total_people_complete,41256
total_pouluation,45655
Male-65 years and older,4356
Male-55-64 years,3021
Male-45-54 years,3119
Male-20-44 years,8395
Male-Less than 20 years,3213
Female-65 years and older,5252
Female-55-64 years,3266
Female-45-54 years,3315
Female-20-44 years,8348
Female-Less than 20 years,3316
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2836
Other Race,3123
"White, non-Hispanic",6673
Hispanic or Latino,32763
