Category,Cochise
Total_doses_administered,128763
Total_people_one_dose,70513
Total_people_complete,62168
total_pouluation,70513
Male-65 years and older,10351
Male-55-64 years,5019
Male-45-54 years,3861
Male-20-44 years,10453
Male-Less than 20 years,3329
Female-65 years and older,12366
Female-55-64 years,6138
Female-45-54 years,4389
Female-20-44 years,11024
Female-Less than 20 years,3489
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1326
"Black or African American, non-Hispanic",1345
Unknown,9305
Other Race,11463
Hispanic or Latino,17569
"White, non-Hispanic",29201
