Category,Mohave
Total_doses_administered,151348
Total_people_one_dose,82955
Total_people_complete,70347
total_pouluation,82955
Male-65 years and older,19113
Male-55-64 years,7723
Male-45-54 years,3974
Male-20-44 years,6809
Male-Less than 20 years,1428
Female-65 years and older,21618
Female-55-64 years,9096
Female-45-54 years,4505
Female-20-44 years,6914
Female-Less than 20 years,1606
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",608
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,6348
Unknown,12906
Other Race,14946
"White, non-Hispanic",46448
