Category,Greenlee
Total_doses_administered,7699
Total_people_one_dose,4053
Total_people_complete,3528
total_pouluation,4053
Male-65 years and older,495
Male-55-64 years,371
Male-45-54 years,311
Male-20-44 years,752
Male-Less than 20 years,143
Female-65 years and older,495
Female-55-64 years,313
Female-45-54 years,312
Female-20-44 years,712
Female-Less than 20 years,147
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",40
"American Indian or Alaska Native, non-Hispanic",98
Other Race,109
Unknown,304
"White, non-Hispanic",1652
Hispanic or Latino,1810
