Category,Maricopa
Total_doses_administered,4734338
Total_people_one_dose,2444808
Total_people_complete,2165741
total_pouluation,2444808
Male-65 years and older,272155
Male-55-64 years,179945
Male-45-54 years,173286
Male-20-44 years,408717
Male-Less than 20 years,110022
Female-65 years and older,341390
Female-55-64 years,203414
Female-45-54 years,188872
Female-20-44 years,438321
Female-Less than 20 years,114290
"American Indian or Alaska Native, non-Hispanic",44866
"Black or African American, non-Hispanic",88455
"Asian or Pacific Islander, non-Hispanic",117025
Unknown,184655
Hispanic or Latino,392525
Other Race,447204
"White, non-Hispanic",1170078
