Category,Navajo
Total_doses_administered,79912
Total_people_one_dose,43133
Total_people_complete,36000
total_pouluation,43133
Male-65 years and older,6804
Male-55-64 years,3319
Male-45-54 years,2427
Male-20-44 years,5211
Male-Less than 20 years,3133
Female-65 years and older,7673
Female-55-64 years,3789
Female-45-54 years,2426
Female-20-44 years,5010
Female-Less than 20 years,3308
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",354
Hispanic or Latino,2201
Unknown,2424
Other Race,7893
"White, non-Hispanic",13435
"American Indian or Alaska Native, non-Hispanic",16644
