Category,Apache
Total_doses_administered,36563
Total_people_one_dose,20374
Total_people_complete,12883
total_pouluation,20374
Male-65 years and older,2145
Male-55-64 years,1463
Male-45-54 years,1119
Male-20-44 years,2646
Male-Less than 20 years,2675
Female-65 years and older,2486
Female-55-64 years,1528
Female-45-54 years,1103
Female-20-44 years,2453
Female-Less than 20 years,2748
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",108
Hispanic or Latino,467
Unknown,1220
Other Race,1233
"White, non-Hispanic",3193
"American Indian or Alaska Native, non-Hispanic",14105
