Category,Arizona
Total_doses_administered,7999620
Total_people_complete,354816
total_pouluation,7189020
Total_people_one_dose,4199586
Male-65 years and older,525147
Male-55-64 years,308334
Male-45-54 years,277501
Male-20-44 years,678521
Male-Less than 20 years,186651
Female-65 years and older,645554
Female-55-64 years,352496
Female-45-54 years,300616
Female-20-44 years,710078
Female-Less than 20 years,195183
"Black or African American, non-Hispanic",119351
"Asian or Pacific Islander, non-Hispanic",153158
"American Indian or Alaska Native, non-Hispanic",157569
Unknown,454078
Other Race,681177
Hispanic or Latino,741790
"White, non-Hispanic",1892463
