Category,Graham
Total_doses_administered,37020
Total_people_one_dose,19420
Total_people_complete,17250
total_pouluation,19420
Male-65 years and older,2316
Male-55-64 years,1526
Male-45-54 years,1375
Male-20-44 years,3318
Male-Less than 20 years,816
Female-65 years and older,2789
Female-55-64 years,1660
Female-45-54 years,1345
Female-20-44 years,3342
Female-Less than 20 years,921
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1531
Hispanic or Latino,3387
Unknown,4136
"American Indian or Alaska Native, non-Hispanic",4690
"White, non-Hispanic",5507
