Category,Yuma
Total_doses_administered,251129
Total_people_one_dose,135697
Total_people_complete,117621
total_pouluation,135697
Male-65 years and older,14661
Male-55-64 years,9575
Male-45-54 years,8553
Male-20-44 years,25242
Male-Less than 20 years,7865
Female-65 years and older,17183
Female-55-64 years,10260
Female-45-54 years,9455
Female-20-44 years,24042
Female-Less than 20 years,8410
"Black or African American, non-Hispanic",680
"American Indian or Alaska Native, non-Hispanic",1032
"Asian or Pacific Islander, non-Hispanic",1040
Other Race,14947
"White, non-Hispanic",27772
Unknown,30100
Hispanic or Latino,60126
