Category,value
Hospitalizations,78951
Yuma,2517
Yavapai,2338
Santa Cruz,610
Pinal,5265
Pima,8526
Navajo,2031
Mohave,2624
Maricopa,49864
La Paz,301
Greenlee,58
Graham,400
Gila,842
Coconino,1620
Cochise,872
Apache,1083
Male,41431
Female,37477
65 years and older,33480
55-64 years,14448
45-54 years,11205
20-44 years,16832
Less than 20 years,2943
Unknown,2020
Other Race,3424
"Asian or Pacific Islander, non-Hispanic",1328
"Black or African American, non-Hispanic",3905
"American Indian or Alaska Native, non-Hispanic",5680
Hispanic or Latino,24894
"White, non-Hispanic",37700
