Category,La Paz
Total_doses_administered,14834
Total_people_one_dose,8027
Total_people_complete,7067
total_pouluation,8027
Male-65 years and older,2222
Male-55-64 years,579
Male-45-54 years,299
Male-20-44 years,593
Male-Less than 20 years,240
Female-65 years and older,2277
Female-55-64 years,677
Female-45-54 years,351
Female-20-44 years,531
Female-Less than 20 years,242
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",353
Hispanic or Latino,1159
Other Race,1170
Unknown,1837
"White, non-Hispanic",3391
