Category,Yavapai
Total_doses_administered,197965
Total_people_one_dose,108516
Total_people_complete,92243
total_pouluation,108516
Male-65 years and older,23864
Male-55-64 years,8673
Male-45-54 years,4736
Male-20-44 years,9388
Male-Less than 20 years,2204
Female-65 years and older,29766
Female-55-64 years,11064
Female-45-54 years,5623
Female-20-44 years,9533
Female-Less than 20 years,2517
"Black or African American, non-Hispanic",480
"American Indian or Alaska Native, non-Hispanic",1217
"Asian or Pacific Islander, non-Hispanic",1230
Hispanic or Latino,7138
Other Race,16992
Unknown,24819
"White, non-Hispanic",56640
