Category,Navajo
Total_doses_administered,59041
Total_people_one_dose,33169
Total_people_complete,28660
Total_doses_ordered,40740
total_pouluation,112825
Male-65 years and older,6001
Male-55-64 years,2728
Male-45-54 years,1843
Male-20-44 years,3709
Male-Less than 20 years,2115
Female-65 years and older,6470
Female-55-64 years,3033
Female-45-54 years,1898
Female-20-44 years,3091
Female-Less than 20 years,2249
"Black or African American, non-Hispanic",0.0055774970605083
"Asian or Pacific Islander, non-Hispanic",0.0103108324037505
Unknown,0.0516144592842715
Hispanic or Latino,0.0549911061533359
Other Race,0.221532153516838
"American Indian or Alaska Native, non-Hispanic",0.269528776869969
"White, non-Hispanic",0.3864451747113269
