Category,Yavapai
Total_doses_administered,177560
Total_people_one_dose,101147
Total_people_complete,85060
Total_doses_ordered,164060
total_pouluation,232386
Male-65 years and older,23066
Male-55-64 years,7948
Male-45-54 years,4429
Male-20-44 years,8378
Male-Less than 20 years,1468
Female-65 years and older,28778
Female-55-64 years,10292
Female-45-54 years,5230
Female-20-44 years,8614
Female-Less than 20 years,1640
"Black or African American, non-Hispanic",0.0046763621264101
"American Indian or Alaska Native, non-Hispanic",0.0096493222735227
"Asian or Pacific Islander, non-Hispanic",0.0127833746922796
Hispanic or Latino,0.0564426033396937
Other Race,0.155654641264694
Unknown,0.2591772370905712
"White, non-Hispanic",0.5016164592128288
