date,hospitalizations
2021-06-25,1
2021-06-24,26
2021-06-23,43
2021-06-22,30
2021-06-21,42
2021-06-20,44
2021-06-19,41
2021-06-18,46
2021-06-17,37
2021-06-16,44
2021-06-15,54
2021-06-14,59
2021-06-13,26
2021-06-12,32
2021-06-11,35
2021-06-10,48
2021-06-09,22
2021-06-08,40
2021-06-07,33
2021-06-06,38
2021-06-05,34
2021-06-04,37
2021-06-03,49
2021-06-02,44
2021-06-01,42
2021-05-31,44
2021-05-30,41
2021-05-29,29
2021-05-28,42
2021-05-27,38
2021-05-26,50
2021-05-25,58
2021-05-24,51
2021-05-23,44
2021-05-22,37
2021-05-21,42
2021-05-20,44
2021-05-19,46
2021-05-18,52
2021-05-17,49
2021-05-16,45
2021-05-15,37
2021-05-14,50
2021-05-13,53
2021-05-12,36
2021-05-11,55
2021-05-10,58
2021-05-09,35
2021-05-08,36
2021-05-07,52
2021-05-06,50
2021-05-05,49
2021-05-04,75
2021-05-03,57
2021-05-02,39
2021-05-01,51
2021-04-30,68
2021-04-29,41
2021-04-28,38
2021-04-27,64
2021-04-26,61
2021-04-25,52
2021-04-24,48
2021-04-23,53
2021-04-22,55
2021-04-21,51
2021-04-20,60
2021-04-19,64
2021-04-18,32
2021-04-17,48
2021-04-16,47
2021-04-15,43
2021-04-14,56
2021-04-13,53
2021-04-12,51
2021-04-11,46
2021-04-10,52
2021-04-09,51
2021-04-08,47
2021-04-07,50
2021-04-06,47
2021-04-05,40
2021-04-04,38
2021-04-03,30
2021-04-02,38
2021-04-01,38
2021-03-31,48
2021-03-30,38
2021-03-29,50
2021-03-28,39
2021-03-27,41
2021-03-26,32
2021-03-25,38
2021-03-24,28
2021-03-23,43
2021-03-22,43
2021-03-21,44
2021-03-20,39
2021-03-19,44
2021-03-18,44
2021-03-17,45
2021-03-16,60
2021-03-15,63
2021-03-14,39
2021-03-13,45
2021-03-12,58
2021-03-11,35
2021-03-10,64
2021-03-09,74
2021-03-08,68
2021-03-07,52
2021-03-06,59
2021-03-05,64
2021-03-04,62
2021-03-03,63
2021-03-02,61
2021-03-01,69
2021-02-28,76
2021-02-27,67
2021-02-26,94
2021-02-25,99
2021-02-24,85
2021-02-23,98
2021-02-22,96
2021-02-21,94
2021-02-20,89
2021-02-19,105
2021-02-18,120
2021-02-17,110
2021-02-16,130
2021-02-15,137
2021-02-14,103
2021-02-13,124
2021-02-12,153
2021-02-11,165
2021-02-10,189
2021-02-09,174
2021-02-08,199
2021-02-07,150
2021-02-06,159
2021-02-05,201
2021-02-04,207
2021-02-03,251
2021-02-02,242
2021-02-01,284
2021-01-31,216
2021-01-30,256
2021-01-29,316
2021-01-28,265
2021-01-27,345
2021-01-26,350
2021-01-25,379
2021-01-24,309
2021-01-23,343
2021-01-22,357
2021-01-21,424
2021-01-20,412
2021-01-19,462
2021-01-18,438
2021-01-17,369
2021-01-16,421
2021-01-15,438
2021-01-14,461
2021-01-13,477
2021-01-12,476
2021-01-11,470
2021-01-10,443
2021-01-09,465
2021-01-08,574
2021-01-07,529
2021-01-06,504
2021-01-05,541
2021-01-04,554
2021-01-03,471
2021-01-02,509
2021-01-01,520
2020-12-31,483
2020-12-30,463
2020-12-29,491
2020-12-28,495
2020-12-27,465
2020-12-26,452
2020-12-25,414
2020-12-24,415
2020-12-23,470
2020-12-22,453
2020-12-21,513
2020-12-20,429
2020-12-19,415
2020-12-18,401
2020-12-17,434
2020-12-16,405
2020-12-15,432
2020-12-14,463
2020-12-13,323
2020-12-12,329
2020-12-11,336
2020-12-10,317
2020-12-09,404
2020-12-08,397
2020-12-07,470
2020-12-06,344
2020-12-05,324
2020-12-04,345
2020-12-03,316
2020-12-02,373
2020-12-01,354
2020-11-30,337
2020-11-29,295
2020-11-28,315
2020-11-27,296
2020-11-26,223
2020-11-25,279
2020-11-24,276
2020-11-23,300
2020-11-22,227
2020-11-21,227
2020-11-20,223
2020-11-19,235
2020-11-18,203
2020-11-17,224
2020-11-16,193
2020-11-15,148
2020-11-14,185
2020-11-13,181
2020-11-12,137
2020-11-11,151
2020-11-10,145
2020-11-09,135
