Category,La Paz
Total_doses_administered,16866
Total_people_one_dose,9196
Total_people_complete,8343
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3058
Male-55-64 years,658
Male-45-54 years,292
Male-20-44 years,457
Male-Less than 20 years,96
Female-65 years and older,2954
Female-55-64 years,822
Female-45-54 years,326
Female-20-44 years,420
Female-Less than 20 years,99
"Black or African American, non-Hispanic",0.0023923444976077
"Asian or Pacific Islander, non-Hispanic",0.0073945193562418
"American Indian or Alaska Native, non-Hispanic",0.0163114397564158
Hispanic or Latino,0.0986298390604611
Other Race,0.1137451065680731
Unknown,0.2749021313614615
"White, non-Hispanic",0.486624619399739
