Category,Navajo
Total_doses_administered,60085
Total_people_one_dose,33577
Total_people_complete,29094
Total_doses_ordered,40740
total_pouluation,112825
Male-65 years and older,6047
Male-55-64 years,2748
Male-45-54 years,1869
Male-20-44 years,3802
Male-Less than 20 years,2159
Female-65 years and older,6519
Female-55-64 years,3049
Female-45-54 years,1914
Female-20-44 years,3140
Female-Less than 20 years,2298
"Black or African American, non-Hispanic",0.0055692885010573
"Asian or Pacific Islander, non-Hispanic",0.0102153259671799
Unknown,0.0531018256544659
Hispanic or Latino,0.0556928850105727
Other Race,0.2206867796408256
"American Indian or Alaska Native, non-Hispanic",0.2681895345027847
"White, non-Hispanic",0.3865443607231141
