Category,Apache
Total_doses_administered,22160
Total_people_one_dose,12409
Total_people_complete,10548
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1683
Male-55-64 years,883
Male-45-54 years,564
Male-20-44 years,1028
Male-Less than 20 years,1927
Female-65 years and older,1717
Female-55-64 years,1001
Female-45-54 years,613
Female-20-44 years,960
Female-Less than 20 years,2024
"Asian or Pacific Islander, non-Hispanic",0.0116850672898703
"Black or African American, non-Hispanic",0.0171649609154646
Unknown,0.0744620839713111
Other Race,0.0747844306551696
Hispanic or Latino,0.1134660327181884
"White, non-Hispanic",0.2337819324683698
"American Indian or Alaska Native, non-Hispanic",0.4746554919816264
