Category,Yuma
Total_doses_administered,180072
Total_people_one_dose,101043
Total_people_complete,85599
Total_doses_ordered,132562
total_pouluation,229957
Male-65 years and older,15261
Male-55-64 years,8029
Male-45-54 years,6838
Male-20-44 years,17586
Male-Less than 20 years,2336
Female-65 years and older,17313
Female-55-64 years,8633
Female-45-54 years,7100
Female-20-44 years,15017
Female-Less than 20 years,2629
"Black or African American, non-Hispanic",0.0054333303643003
"Asian or Pacific Islander, non-Hispanic",0.0061162079510703
"American Indian or Alaska Native, non-Hispanic",0.0135783775224409
Other Race,0.0876161634155755
"White, non-Hispanic",0.1850004453549479
Unknown,0.2984768860782044
Hispanic or Latino,0.4037785893134606
