Category,Cochise
Total_doses_administered,106689
Total_people_one_dose,59875
Total_people_complete,52334
Total_doses_ordered,86280
total_pouluation,130808
Male-65 years and older,10233
Male-55-64 years,4873
Male-45-54 years,3358
Male-20-44 years,7923
Male-Less than 20 years,1626
Female-65 years and older,12137
Female-55-64 years,5877
Female-45-54 years,3973
Female-20-44 years,8078
Female-Less than 20 years,1710
"American Indian or Alaska Native, non-Hispanic",0.0049269311064718
"Black or African American, non-Hispanic",0.0184718162839248
"Asian or Pacific Islander, non-Hispanic",0.0200250521920668
Unknown,0.1333945720250522
Other Race,0.1596993736951983
Hispanic or Latino,0.2128100208768267
"White, non-Hispanic",0.4506722338204594
