Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,5650701.0,17682.0,128626.0,95970.0,17862.0,8000.0,46358.0,15970.0,2149559.0,124696.0,46921.0,240193.0,755837.0,53009.0,165959.0,162457.0
Total_people_complete,2698696.0,8110.0,62651.0,46207.0,8793.0,3989.0,22843.0,7652.0,1029897.0,57219.0,22290.0,117357.0,371870.0,24898.0,78305.0,76336.0
Total_doses_ordered,5131640.0,16600.0,95562.0,85330.0,18130.0,9800.0,36170.0,19000.0,1472977.0,120570.0,38770.0,192350.0,583024.0,47140.0,162770.0,125930.0
total_pouluation,7189020.0,71808.0,147275.0,130808.0,38476.0,10375.0,55159.0,22085.0,4367835.0,216985.0,112825.0,455210.0,1044675.0,53161.0,232386.0,229957.0
Total_people_one_dose,3184613.0,10420.0,70429.0,54570.0,9731.0,4522.0,25634.0,8808.0,1262563.0,72281.0,27349.0,138044.0,429107.0,30125.0,95320.0,91273.0
Male-65 years and older,479538.0,1620.0,7023.0,9957.0,1548.0,521.0,5525.0,2980.0,161298.0,19208.0,5420.0,27369.0,67966.0,3403.0,22413.0,14794.0
Male-55-64 years,259004.0,831.0,5347.0,4608.0,858.0,570.0,2382.0,626.0,102759.0,6712.0,2450.0,11484.0,31645.0,2340.0,7510.0,7512.0
Male-45-54 years,207442.0,478.0,4662.0,3054.0,729.0,462.0,1425.0,273.0,91926.0,3104.0,1619.0,9543.0,25554.0,2556.0,3990.0,6211.0
Male-20-44 years,457312.0,860.0,13738.0,6903.0,1627.0,931.0,2652.0,413.0,194445.0,4780.0,3127.0,18827.0,58040.0,5326.0,7513.0,15505.0
Male-Less than 20 years,65538.0,1281.0,1658.0,831.0,102.0,41.0,296.0,51.0,22887.0,341.0,937.0,1403.0,6317.0,1221.0,999.0,1109.0
Female-65 years and older,593505.0,1662.0,8112.0,11809.0,1918.0,510.0,5876.0,2899.0,210976.0,21568.0,5777.0,31411.0,90061.0,4140.0,27999.0,16822.0
Female-55-64 years,306580.0,935.0,6144.0,5642.0,985.0,402.0,2750.0,793.0,123563.0,8138.0,2768.0,12552.0,40540.0,2416.0,9828.0,8175.0
Female-45-54 years,234163.0,554.0,4978.0,3664.0,630.0,354.0,1552.0,306.0,105983.0,3395.0,1690.0,8684.0,31492.0,2507.0,4883.0,6485.0
Female-20-44 years,498962.0,841.0,16276.0,7097.0,1197.0,688.0,2782.0,392.0,221540.0,4554.0,2542.0,14646.0,69387.0,4868.0,7848.0,13125.0
Female-Less than 20 years,73282.0,1353.0,2435.0,922.0,128.0,41.0,335.0,61.0,25184.0,383.0,991.0,1572.0,7270.0,1279.0,1019.0,1269.0
"Black or African American, non-Hispanic",0.0234961045502232,0.0147792706333973,0.0063894134518451,0.0160527762506872,0.0029801664782653,0.0095090667846086,0.0026527268471561,0.0022706630336058,0.0332339851555922,0.0056169671144561,0.0053384035979378,0.0203558285763959,0.0162570174804886,0.0006970954356846,0.0040600083927822,0.0036922200431672
"American Indian or Alaska Native, non-Hispanic",0.0244491245875088,0.4299424184261037,0.1924065370798961,0.0034267912772586,0.0763539204603843,0.015922158337019,0.1821409066084107,0.010558583106267,0.0209573700480689,0.0063363816217263,0.203444367252916,0.0437831416070238,0.0188577674099933,0.0003319502074689,0.0090012589173311,0.0119641076769691
"Asian or Pacific Islander, non-Hispanic",0.0375244966970869,0.0112284069097889,0.0133325760695168,0.0193146417445483,0.0030829308395848,0.0099513489606369,0.007021924007178,0.0053360581289737,0.0471136885842528,0.012990965813976,0.0091776664594684,0.0140462461244241,0.0239520678991487,0.0025892116182573,0.0120960973562736,0.0052151238591917
Unknown,0.1331037711646596,0.1775431861804223,0.2413068480313507,0.1658603628367235,0.5122803411776796,0.0944272445820433,0.3097448700944059,0.3861262488646685,0.1235098763388441,0.232025013489022,0.1013199751362024,0.2902190605893773,0.1998266166713663,0.0693112033195021,0.2910407049937055,0.3511115006628467
Hispanic or Latino,0.1358783626142329,0.0955854126679463,0.0585270272189013,0.2003665017408833,0.1557907717603535,0.4433878814683768,0.0410002340641336,0.0955949137148047,0.140624269838416,0.0549383655455791,0.0547734834911697,0.1388470342789256,0.2024599924960441,0.7504398340248962,0.0513638271086865,0.3799590240268207
Other Race,0.1685630247694147,0.045873320537428,0.1096849309233412,0.1492028587135789,0.0289795498920974,0.0176912870411322,0.1326753530467348,0.0121480472297911,0.1516431259271815,0.1646629127986608,0.2086365132180336,0.0857987308394425,0.1187629192718832,0.0379751037344398,0.146370121695342,0.0785445860221533
"White, non-Hispanic",0.476985115616874,0.2250479846449136,0.3783526672251487,0.4457760674363203,0.220532319391635,0.4091110128261831,0.324763985331981,0.4879654859218892,0.4829176841076446,0.5234293936165798,0.4173095908442722,0.4069499579844108,0.4198836187710758,0.1386556016597511,0.4860679815358792,0.1695134377088515
