Category,Greenlee
Total_doses_administered,8000
Total_people_one_dose,4522
Total_people_complete,3989
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,521
Male-55-64 years,570
Male-45-54 years,462
Male-20-44 years,931
Male-Less than 20 years,41
Female-65 years and older,510
Female-55-64 years,402
Female-45-54 years,354
Female-20-44 years,688
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0095090667846086
"Asian or Pacific Islander, non-Hispanic",0.0099513489606369
"American Indian or Alaska Native, non-Hispanic",0.015922158337019
Other Race,0.0176912870411322
Unknown,0.0944272445820433
"White, non-Hispanic",0.4091110128261831
Hispanic or Latino,0.4433878814683768
