Category,Yavapai
Total_doses_administered,165959
Total_people_one_dose,95320
Total_people_complete,78305
Total_doses_ordered,162770
total_pouluation,232386
Male-65 years and older,22413
Male-55-64 years,7510
Male-45-54 years,3990
Male-20-44 years,7513
Male-Less than 20 years,999
Female-65 years and older,27999
Female-55-64 years,9828
Female-45-54 years,4883
Female-20-44 years,7848
Female-Less than 20 years,1019
"Black or African American, non-Hispanic",0.0040600083927822
"American Indian or Alaska Native, non-Hispanic",0.0090012589173311
"Asian or Pacific Islander, non-Hispanic",0.0120960973562736
Hispanic or Latino,0.0513638271086865
Other Race,0.146370121695342
Unknown,0.2910407049937055
"White, non-Hispanic",0.4860679815358792
