Category,Arizona
Total_doses_administered,6799586
Total_people_complete,3336595
Total_doses_ordered,5232260
total_pouluation,7189020
Total_people_one_dose,3733628
Male-65 years and older,506908
Male-55-64 years,287508
Male-45-54 years,244506
Male-20-44 years,565746
Male-Less than 20 years,134823
Female-65 years and older,625757
Female-55-64 years,333030
Female-45-54 years,270210
Female-20-44 years,601150
Female-Less than 20 years,144695
"Black or African American, non-Hispanic",99276
"American Indian or Alaska Native, non-Hispanic",101048
"Asian or Pacific Islander, non-Hispanic",143879
Unknown,405479
Hispanic or Latino,596665
Other Race,639014
"White, non-Hispanic",1748267
