Category,Apache
Total_doses_administered,23256
Total_people_one_dose,13078
Total_people_complete,11231
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1701
Male-55-64 years,902
Male-45-54 years,591
Male-20-44 years,1098
Male-Less than 20 years,2137
Female-65 years and older,1739
Female-55-64 years,1021
Female-45-54 years,640
Female-20-44 years,1014
Female-Less than 20 years,2226
"Asian or Pacific Islander, non-Hispanic",149
"Black or African American, non-Hispanic",239
Unknown,955
Other Race,955
Hispanic or Latino,1546
"White, non-Hispanic",2959
"American Indian or Alaska Native, non-Hispanic",6275
