Category,La Paz
Total_doses_administered,17230
Total_people_one_dose,9426
Total_people_complete,8506
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3096
Male-55-64 years,677
Male-45-54 years,305
Male-20-44 years,482
Male-Less than 20 years,121
Female-65 years and older,2993
Female-55-64 years,833
Female-45-54 years,339
Female-20-44 years,436
Female-Less than 20 years,130
"Black or African American, non-Hispanic",26
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",173
Hispanic or Latino,964
Other Race,1067
Unknown,2566
"White, non-Hispanic",4560
