Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,6799586,23256,145285,115014,20114,8323,50158,17230,2824626,148080,61879,295708,897655,65729,183010,199263
Total_people_complete,3336595,11231,72211,57264,10096,4194,24955,8506,1410609,70957,30445,150705,452191,33225,88478,96889
Total_doses_ordered,5232260,16600,96258,87630,18830,9770,36570,18600,1541187,125800,40790,197055,609388,48042,165360,140268
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,3733628,13078,79352,64477,11047,4719,27842,9426,1603936,84684,34900,167874,503380,36201,104418,112273
Male-65 years and older,506908,1701,7532,10485,1609,543,5764,3096,175241,20945,6163,29342,71613,3541,23484,15633
Male-55-64 years,287508,902,5874,5053,951,590,2553,677,120693,8018,2803,13177,35478,2551,8190,8494
Male-45-54 years,244506,591,5217,3584,808,485,1541,305,116406,3995,1928,11853,30065,2905,4629,7367
Male-20-44 years,565746,1098,15654,9052,1886,994,2963,482,262266,6511,3910,26177,71998,7031,8883,20739
Male-Less than 20 years,134823,2137,2687,2176,238,47,571,121,64082,945,2499,4419,16930,2064,1704,3756
Female-65 years and older,625757,1739,8622,12426,2029,518,6115,2993,227802,23352,6628,33691,94485,4285,29297,17718
Female-55-64 years,333030,1021,6601,6064,1080,407,2867,833,140202,9413,3110,14162,44234,2595,10541,9008
Female-45-54 years,270210,640,5430,4175,720,364,1653,339,130541,4232,1975,10669,35827,2751,5417,7603
Female-20-44 years,601150,1014,18197,9094,1437,725,3077,436,287340,6022,3241,19215,83484,6344,9057,17571
Female-Less than 20 years,144695,2226,3462,2277,278,44,678,130,67630,1100,2611,4578,18341,2067,1906,4063
"Black or African American, non-Hispanic",99276,239,560,1195,66,44,92,26,60375,569,195,4572,9508,29,506,612
"American Indian or Alaska Native, non-Hispanic",101048,6275,16383,308,914,83,5357,173,34423,839,9567,8023,10378,16,1035,1464
"Asian or Pacific Islander, non-Hispanic",143879,149,1178,1257,60,48,252,70,77356,1220,359,3084,12836,94,1351,677
Unknown,405479,955,16607,8559,3611,377,5247,2566,157648,14502,1840,34308,82708,2276,26650,32595
Hispanic or Latino,596665,1546,5335,15139,1807,2087,1224,964,276094,5604,1983,25660,114044,27145,6182,46421
Other Race,639014,955,9221,9950,868,127,4689,1067,248322,15387,7575,17929,63690,1971,16092,10040
"White, non-Hispanic",1748267,2959,30068,28069,3721,1953,10981,4560,749718,46563,13381,74298,210216,4670,52602,20464
