Category,Coconino
Total_doses_administered,145285
Total_people_one_dose,79352
Total_people_complete,72211
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7532
Male-55-64 years,5874
Male-45-54 years,5217
Male-20-44 years,15654
Male-Less than 20 years,2687
Female-65 years and older,8622
Female-55-64 years,6601
Female-45-54 years,5430
Female-20-44 years,18197
Female-Less than 20 years,3462
"Black or African American, non-Hispanic",560
"Asian or Pacific Islander, non-Hispanic",1178
Hispanic or Latino,5335
Other Race,9221
"American Indian or Alaska Native, non-Hispanic",16383
Unknown,16607
"White, non-Hispanic",30068
