Category,Maricopa
Total_doses_administered,2824626
Total_people_one_dose,1603936
Total_people_complete,1410609
Total_doses_ordered,1541187
total_pouluation,4367835
Male-65 years and older,175241
Male-55-64 years,120693
Male-45-54 years,116406
Male-20-44 years,262266
Male-Less than 20 years,64082
Female-65 years and older,227802
Female-55-64 years,140202
Female-45-54 years,130541
Female-20-44 years,287340
Female-Less than 20 years,67630
"American Indian or Alaska Native, non-Hispanic",34423
"Black or African American, non-Hispanic",60375
"Asian or Pacific Islander, non-Hispanic",77356
Unknown,157648
Other Race,248322
Hispanic or Latino,276094
"White, non-Hispanic",749718
