Category,Pima
Total_doses_administered,897655
Total_people_one_dose,503380
Total_people_complete,452191
Total_doses_ordered,609388
total_pouluation,1044675
Male-65 years and older,71613
Male-55-64 years,35478
Male-45-54 years,30065
Male-20-44 years,71998
Male-Less than 20 years,16930
Female-65 years and older,94485
Female-55-64 years,44234
Female-45-54 years,35827
Female-20-44 years,83484
Female-Less than 20 years,18341
"Black or African American, non-Hispanic",9508
"American Indian or Alaska Native, non-Hispanic",10378
"Asian or Pacific Islander, non-Hispanic",12836
Other Race,63690
Unknown,82708
Hispanic or Latino,114044
"White, non-Hispanic",210216
