Category,Cochise
Total_doses_administered,115014
Total_people_one_dose,64477
Total_people_complete,57264
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10485
Male-55-64 years,5053
Male-45-54 years,3584
Male-20-44 years,9052
Male-Less than 20 years,2176
Female-65 years and older,12426
Female-55-64 years,6064
Female-45-54 years,4175
Female-20-44 years,9094
Female-Less than 20 years,2277
"American Indian or Alaska Native, non-Hispanic",308
"Black or African American, non-Hispanic",1195
"Asian or Pacific Islander, non-Hispanic",1257
Unknown,8559
Other Race,9950
Hispanic or Latino,15139
"White, non-Hispanic",28069
