Category,Pinal
Total_doses_administered,295708
Total_people_one_dose,167874
Total_people_complete,150705
Total_doses_ordered,197055
total_pouluation,455210
Male-65 years and older,29342
Male-55-64 years,13177
Male-45-54 years,11853
Male-20-44 years,26177
Male-Less than 20 years,4419
Female-65 years and older,33691
Female-55-64 years,14162
Female-45-54 years,10669
Female-20-44 years,19215
Female-Less than 20 years,4578
"Asian or Pacific Islander, non-Hispanic",3084
"Black or African American, non-Hispanic",4572
"American Indian or Alaska Native, non-Hispanic",8023
Other Race,17929
Hispanic or Latino,25660
Unknown,34308
"White, non-Hispanic",74298
