Category,Yavapai
Total_doses_administered,183010
Total_people_one_dose,104418
Total_people_complete,88478
Total_doses_ordered,165360
total_pouluation,232386
Male-65 years and older,23484
Male-55-64 years,8190
Male-45-54 years,4629
Male-20-44 years,8883
Male-Less than 20 years,1704
Female-65 years and older,29297
Female-55-64 years,10541
Female-45-54 years,5417
Female-20-44 years,9057
Female-Less than 20 years,1906
"Black or African American, non-Hispanic",506
"American Indian or Alaska Native, non-Hispanic",1035
"Asian or Pacific Islander, non-Hispanic",1351
Hispanic or Latino,6182
Other Race,16092
Unknown,26650
"White, non-Hispanic",52602
