Category,Graham
Total_doses_administered,20114
Total_people_one_dose,11047
Total_people_complete,10096
Total_doses_ordered,18830
total_pouluation,38476
Male-65 years and older,1609
Male-55-64 years,951
Male-45-54 years,808
Male-20-44 years,1886
Male-Less than 20 years,238
Female-65 years and older,2029
Female-55-64 years,1080
Female-45-54 years,720
Female-20-44 years,1437
Female-Less than 20 years,278
"Asian or Pacific Islander, non-Hispanic",60
"Black or African American, non-Hispanic",66
Other Race,868
"American Indian or Alaska Native, non-Hispanic",914
Hispanic or Latino,1807
Unknown,3611
"White, non-Hispanic",3721
