Category,Coconino
Total_doses_administered,153092
Total_people_one_dose,84069
Total_people_complete,75541
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7860
Male-55-64 years,6099
Male-45-54 years,5513
Male-20-44 years,16715
Male-Less than 20 years,3247
Female-65 years and older,8939
Female-55-64 years,6838
Female-45-54 years,5636
Female-20-44 years,19175
Female-Less than 20 years,3964
"Black or African American, non-Hispanic",622
"Asian or Pacific Islander, non-Hispanic",1274
Hispanic or Latino,6002
Other Race,9752
Unknown,17004
"American Indian or Alaska Native, non-Hispanic",17564
"White, non-Hispanic",31851
