Category,Yavapai
Total_doses_administered,193264
Total_people_one_dose,110750
Total_people_complete,92773
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24191
Male-55-64 years,8644
Male-45-54 years,5065
Male-20-44 years,9895
Male-Less than 20 years,2119
Female-65 years and older,30189
Female-55-64 years,11036
Female-45-54 years,5903
Female-20-44 years,10052
Female-Less than 20 years,2344
"Black or African American, non-Hispanic",604
"American Indian or Alaska Native, non-Hispanic",1118
"Asian or Pacific Islander, non-Hispanic",1452
Hispanic or Latino,7038
Other Race,17002
Unknown,27503
"White, non-Hispanic",56033
