Category,Arizona
Total_doses_administered,7358071
Total_people_complete,3549370
Total_doses_ordered,5327230
total_pouluation,7189020
Total_people_one_dose,4033434
Male-65 years and older,523629
Male-55-64 years,302470
Male-45-54 years,265158
Male-20-44 years,631384
Male-Less than 20 years,167157
Female-65 years and older,645416
Female-55-64 years,347790
Female-45-54 years,289978
Female-20-44 years,665664
Female-Less than 20 years,175262
"Black or African American, non-Hispanic",110793
"American Indian or Alaska Native, non-Hispanic",119572
"Asian or Pacific Islander, non-Hispanic",150905
Unknown,432381
Other Race,679542
Hispanic or Latino,686572
"White, non-Hispanic",1853669
