Category,Greenlee
Total_doses_administered,9002
Total_people_one_dose,5200
Total_people_complete,4376
Total_doses_ordered,10440
total_pouluation,10375
Male-65 years and older,566
Male-55-64 years,618
Male-45-54 years,530
Male-20-44 years,1118
Male-Less than 20 years,100
Female-65 years and older,536
Female-55-64 years,426
Female-45-54 years,386
Female-20-44 years,826
Female-Less than 20 years,91
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",97
Other Race,143
Unknown,472
"White, non-Hispanic",2128
Hispanic or Latino,2262
