Category,Mohave
Total_doses_administered,158788
Total_people_one_dose,91137
Total_people_complete,75407
Total_doses_ordered,133040
total_pouluation,216985
Male-65 years and older,21780
Male-55-64 years,8565
Male-45-54 years,4452
Male-20-44 years,7450
Male-Less than 20 years,1356
Female-65 years and older,24289
Female-55-64 years,9970
Female-45-54 years,4717
Female-20-44 years,6946
Female-Less than 20 years,1454
"Black or African American, non-Hispanic",634
"American Indian or Alaska Native, non-Hispanic",947
"Asian or Pacific Islander, non-Hispanic",1317
Hispanic or Latino,6552
Unknown,15247
Other Race,16118
"White, non-Hispanic",50322
