Category,Apache
Total_doses_administered,33562
Total_people_one_dose,18834
Total_people_complete,12423
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1966
Male-55-64 years,1310
Male-45-54 years,1034
Male-20-44 years,2523
Male-Less than 20 years,2526
Female-65 years and older,2071
Female-55-64 years,1441
Female-45-54 years,1034
Female-20-44 years,2311
Female-Less than 20 years,2608
"Asian or Pacific Islander, non-Hispanic",170
"Black or African American, non-Hispanic",290
Unknown,1010
Other Race,1283
Hispanic or Latino,1874
"White, non-Hispanic",3280
"American Indian or Alaska Native, non-Hispanic",10927
