Category,Navajo
Total_doses_administered,78167
Total_people_one_dose,44062
Total_people_complete,37310
Total_doses_ordered,41810
total_pouluation,112825
Male-65 years and older,7010
Male-55-64 years,3647
Male-45-54 years,2579
Male-20-44 years,5433
Male-Less than 20 years,3109
Female-65 years and older,7695
Female-55-64 years,3912
Female-45-54 years,2605
Female-20-44 years,4804
Female-Less than 20 years,3234
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",422
Unknown,2237
Hispanic or Latino,2291
Other Race,8424
"White, non-Hispanic",14846
"American Indian or Alaska Native, non-Hispanic",15614
