Category,Maricopa
Total_doses_administered,3137006
Total_people_one_dose,1789439
Total_people_complete,1544100
Total_doses_ordered,1638900
total_pouluation,4367835
Male-65 years and older,184128
Male-55-64 years,129691
Male-45-54 years,129724
Male-20-44 years,303363
Male-Less than 20 years,84377
Female-65 years and older,238280
Female-55-64 years,149274
Female-45-54 years,143469
Female-20-44 years,328698
Female-Less than 20 years,86609
"American Indian or Alaska Native, non-Hispanic",37893
"Black or African American, non-Hispanic",69433
"Asian or Pacific Islander, non-Hispanic",82784
Unknown,174965
Other Race,275111
Hispanic or Latino,329587
"White, non-Hispanic",819666
