Category,Cochise
Total_doses_administered,123005
Total_people_one_dose,69093
Total_people_complete,60646
Total_doses_ordered,90850
total_pouluation,130808
Male-65 years and older,10816
Male-55-64 years,5229
Male-45-54 years,3848
Male-20-44 years,9946
Male-Less than 20 years,2787
Female-65 years and older,12802
Female-55-64 years,6308
Female-45-54 years,4410
Female-20-44 years,9988
Female-Less than 20 years,2867
"American Indian or Alaska Native, non-Hispanic",329
"Black or African American, non-Hispanic",1307
"Asian or Pacific Islander, non-Hispanic",1319
Unknown,9267
Other Race,10507
Hispanic or Latino,16840
"White, non-Hispanic",29524
